number,title,genre,rating,casting,place,period
30,빨간모자 ,어린이/가족,9.9,"['박선령', '조재문', '이혜림', '허혁']",소극장 쇠내골,2018/01/26 ~ 2021/03/31 
31,쇼크,퍼포먼스,9.7,[],PID HALL,2014/12/06 ~ 오픈런 
32,라면에 파송송,창작,9.8,"['김명대', '이예은', '김슬기', '주요한', '김태경', '김재선']",로즈아트홀 (구.노방극장),2019/10/05 ~ 2021/02/27 
33,스쿨오즈,뮤지컬,,[],SMTOWN THEATRE,2015/01/14 ~ 오픈런 
34,천로역정,창작,10,['정현희'],북촌아트홀,2019/07/13 ~ 2021/03/01 
35,페인터즈,뮤지컬,9.3,[],페인터즈 종로전용관,2013/11/01 ~ 오픈런 
36,동춘서커스 ,어린이/가족,8.5,[],동춘서커스 빅탑극장,2016/06/29 ~ 오픈런 
37,청춘밴드 제로,창작,9,[],무지개극장,2017/03/13 ~ 오픈런 
38,내 친구 유관순,창작,10,[],경복궁 아트홀,2021/02/06 ~ 2021/03/28 
39,알라딘과 자스민공주 ,어린이/가족,10,[],대구 대백프라자 프라임홀,2021/02/14 ~ 2021/03/01 
40,천사&악마,뮤지컬,,"['김민상', '황나은', '최윤성', '김상현', '이준원', '강효경', '박은', '안소정', '이민서', '조한희', '김시헌', '권현채', '조용진', '김하연', '오혜지']",대학로 마당세실극장,2021/02/19 ~ 2021/02/28 
41,무지개랜드,어린이/가족,10,[],별빛소극장,2021/02/06 ~ 2021/02/28 
42,스위니토드,라이선스,9.5,"['조승우', '홍광호', '박은태', '옥주현', '김지현', '린아', '김도형', '서영주', '임준혁', '신주협', '신재범', '최서연', '이지수', '조성지', '조휘', '신재희', '김서안', '김지훈', '김도현', '맹원태', '박규연', '윤태호']",샤롯데씨어터,2019/10/02 ~ 2020/01/27 
43,킹아더,라이선스,8.9,"['장승조', '한지상', '고훈정', '임정희', '간미연', '이지수', '임병근', '장지후', '니엘', '김찬호', '이충주', '강홍석', '리사', '박혜나', '최수진', '지혜근', '김지욱', '정다영', '주홍균', '남궁민희', '권기중', '임동섭', '고샛별', '김재희', '이승현', '김정민']",충무아트센터 대극장,2019/03/14 ~ 2019/06/02 
44,팬레터,창작,9.4,"['김재범', '김종구', '김경수', '이규형', '이용규', '백형훈', '문성일', '윤소호', '소정화', '김히어라', '김수연', '박정표', '정민', '김지휘', '양승리', '임별', '이승현', '장민수', '권동호', '안창용']",두산아트센터 연강홀,2019/11/07 ~ 2020/02/02 
45,보디가드,라이선스,9.1,"['김선영', '박기영', '손승연', '해나', '이동건', '강경준', '최현선', '정다희', '이율', '김대령', '최호중', '한동규', '전재현', '이준용', '권기중']",LG아트센터,2019/11/28 ~ 2020/02/23 
46,레베카,라이선스,9.5,"['류정한', '엄기준', '카이', '신성록', '신영숙', '옥주현', '장은아', '알리', '박지연', '이지혜', '민경아', '최민철', '이창민', '문희경', '최혁주', '이소유', '류수화', '최병광', '홍경수', '박진우', '김지욱', '이종문', '민준호', '정재희', '최훈호', '김수영']",충무아트센터 대극장,2019/11/16 ~ 2020/03/15 
47,드라큘라,라이선스,9,"['신성우', '임태경', '엄기준', '켄', '선우', '김금나', '소냐', '최우리', '황한나', '김법래', '이건명', '문종원', '최성원', '조지훈', '최아준', '정영일', '김지원', '나현우', '박다솔', '김슬기', '마준석', '권영빈', '오세형', '김유성']",한전아트센터,2019/10/05 ~ 2019/12/01 
